"rk","name","pos","age","team_abbr","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","id","player_image","team_logo"
289,"Bryce McGowens","SG",21,"CHA",13,1,205,20,45,0.444,13,29,0.448,7,16,0.438,0.589,8,10,0.8,4,21,25,12,6,2,7,18,61,"4576086","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4576086.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
290,"Jordan McLaughlin","PG",27,"MIN",5,0,19,1,4,0.25,1,2,0.5,0,2,0,0.375,2,2,1,0,0,0,5,0,2,0,2,5,"3134916","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134916.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
291,"De'Anthony Melton","SG",25,"PHI",19,19,574,79,199,0.397,46,115,0.4,33,84,0.393,0.513,40,51,0.784,16,60,76,70,25,8,27,51,244,"4066436","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066436.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
292,"Sam Merrill","SG",27,"CLE",10,0,75,8,25,0.32,8,22,0.364,0,3,0,0.48,0,0,NA,2,4,6,6,2,0,2,6,24,"4066757","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066757.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
293,"Chimezie Metu","C",26,"PHO",11,0,78,11,22,0.5,3,9,0.333,8,13,0.615,0.568,3,4,0.75,2,13,15,4,1,3,3,13,28,"3914283","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3914283.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
294,"Vasilije Micic","PG",30,"OKC",8,0,98,9,24,0.375,5,14,0.357,4,10,0.4,0.479,4,6,0.667,0,4,4,22,1,0,10,6,27,"3102532","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102532.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png"
295,"Khris Middleton","SF",32,"MIL",17,17,359,78,168,0.464,22,64,0.344,56,104,0.538,0.53,25,32,0.781,13,58,71,69,13,1,28,31,203,"6609","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6609.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
296,"Brandon Miller","SF",21,"CHA",16,10,497,88,192,0.458,27,71,0.38,61,121,0.504,0.529,27,34,0.794,20,45,65,32,10,8,20,48,230,"4433287","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433287.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
297,"Jordan Miller","SF",24,"LAC",2,0,7,2,3,0.667,1,1,1,1,2,0.5,0.833,0,0,NA,0,0,0,0,0,0,0,2,5,"4396818","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396818.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
298,"Leonard Miller","SF",20,"MIN",3,0,6,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,0,6,6,1,0,0,0,1,2,"5044385","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5044385.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
299,"Dariq Whitehead","SF",19,"BKN",1,0,3,0,0,NA,0,0,NA,0,0,NA,NA,1,2,0.5,0,0,0,0,0,1,0,0,1,"4432735","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432735.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
300,"Patty Mills","PG",35,"ATL",1,0,5,1,2,0.5,1,1,1,0,1,0,0.75,0,0,NA,0,1,1,0,0,0,0,0,3,"4004","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4004.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png"
301,"Shake Milton","SG",27,"MIN",19,0,309,35,97,0.361,8,37,0.216,27,60,0.45,0.402,28,35,0.8,4,33,37,29,14,3,20,30,106,"3915195","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3915195.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
302,"Justin Minaya","SF",24,"POR",5,0,30,2,6,0.333,2,4,0.5,0,2,0,0.5,1,2,0.5,4,1,5,0,0,1,1,1,7,"4278111","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278111.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
303,"Josh Minott","SF",21,"MIN",9,0,23,6,12,0.5,0,5,0,6,7,0.857,0.5,2,4,0.5,1,2,3,1,0,1,0,4,14,"4687718","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4687718.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
304,"Davion Mitchell","PG",25,"SAC",14,3,237,25,69,0.362,12,41,0.293,13,28,0.464,0.449,9,9,1,1,16,17,37,5,2,13,23,71,"4278053","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278053.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
305,"Donovan Mitchell","SG",27,"CLE",15,15,532,141,315,0.448,43,125,0.344,98,190,0.516,0.516,82,91,0.901,16,64,80,78,31,7,38,29,407,"3908809","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3908809.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
306,"Evan Mobley","PF",22,"CLE",20,20,669,134,236,0.568,2,10,0.2,132,226,0.584,0.572,50,65,0.769,55,160,215,59,16,34,44,55,320,"4432158","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432158.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
307,"Isaiah Mobley","PF",24,"CLE",2,0,10,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,NA,0,2,2,3,1,0,1,2,2,"4432815","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432815.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
308,"Malik Monk","SG",25,"SAC",19,0,473,89,209,0.426,50,118,0.424,39,91,0.429,0.545,53,59,0.898,11,44,55,87,15,9,43,31,281,"4066262","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066262.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
309,"Moses Moody","SG",21,"GSW",20,4,376,63,128,0.492,24,64,0.375,39,64,0.609,0.586,23,31,0.742,24,44,68,23,16,6,11,27,173,"4432171","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432171.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
310,"Wendell Moore Jr.","SG",22,"MIN",1,0,2,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,"4592187","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592187.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
311,"Marcus Morris","PF",34,"PHI",12,3,145,23,51,0.451,11,23,0.478,12,28,0.429,0.559,3,3,1,5,20,25,6,4,5,5,19,60,NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/NA.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
312,"Markieff Morris","PF",34,"DAL",3,0,23,3,13,0.231,2,8,0.25,1,5,0.2,0.308,0,0,NA,2,2,4,2,0,0,0,2,8,"6461","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6461.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png"
313,"Trey Murphy III","SF",23,"NO",2,0,52,13,26,0.5,7,18,0.389,6,8,0.75,0.635,1,2,0.5,1,4,5,2,1,2,0,1,34,"4397688","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397688.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
314,"Dejounte Murray","SG",27,"ATL",19,19,649,146,319,0.458,44,112,0.393,102,207,0.493,0.527,51,59,0.864,13,65,78,97,34,5,45,26,387,"3907497","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907497.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png"
315,"Jamal Murray","PG",26,"DEN",8,8,238,46,111,0.414,17,40,0.425,29,71,0.408,0.491,21,24,0.875,3,21,24,58,2,5,16,15,130,"3936299","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3936299.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png"
316,"Keegan Murray","SF",23,"SAC",15,15,485,72,185,0.389,33,107,0.308,39,78,0.5,0.478,17,20,0.85,24,65,89,28,18,8,18,36,194,"4594327","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4594327.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
317,"Kris Murray","SF",23,"POR",10,0,88,6,20,0.3,3,12,0.25,3,8,0.375,0.375,3,5,0.6,4,4,8,3,5,1,1,8,18,"4594326","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4594326.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
318,"Mike Muscala","C",32,"WAS",7,1,82,8,19,0.421,3,10,0.3,5,9,0.556,0.5,4,4,1,2,17,19,8,1,3,7,7,23,"2490089","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490089.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
319,"Svi Mykhailiuk","SF",26,"BOS",8,0,59,6,17,0.353,4,14,0.286,2,3,0.667,0.471,0,0,NA,1,4,5,1,3,0,4,4,16,"3133602","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133602.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
320,"Larry Nance Jr.","C",31,"NO",14,0,211,21,42,0.5,3,11,0.273,18,31,0.581,0.536,4,8,0.5,18,40,58,10,9,4,13,19,49,"2580365","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2580365.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
321,"Andrew Nembhard","PG",24,"IND",16,2,294,48,109,0.44,9,37,0.243,39,72,0.542,0.482,6,9,0.667,9,20,29,68,14,0,22,33,111,"4395712","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395712.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
322,"Aaron Nesmith","SF",24,"IND",17,1,410,70,127,0.551,30,66,0.455,40,61,0.656,0.669,20,32,0.625,15,39,54,17,17,10,10,56,190,"4396909","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396909.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
323,"Georges Niang","PF",30,"CLE",20,1,447,62,150,0.413,31,89,0.348,31,61,0.508,0.517,12,13,0.923,6,73,79,24,7,2,11,46,167,"2990969","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2990969.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
324,"Daishen Nix","PG",21,"MIN",5,0,20,3,8,0.375,2,5,0.4,1,3,0.333,0.5,0,0,NA,0,1,1,0,1,0,0,0,8,"4432176","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432176.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
325,"Zeke Nnaji","PF",23,"DEN",19,0,199,25,51,0.49,3,7,0.429,22,44,0.5,0.52,17,28,0.607,23,21,44,8,3,10,10,26,70,"4431690","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431690.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png"
326,"Jaylen Nowell","SG",24,"MEM",5,1,94,13,36,0.361,2,14,0.143,11,22,0.5,0.389,3,3,1,3,9,12,7,2,0,2,8,31,"4278541","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278541.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
327,"Markquis Nowell","SG",24,"TOR",1,0,4,0,1,0,0,0,NA,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2,"4397554","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397554.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
328,"Jusuf Nurkic","C",29,"PHO",21,21,586,90,193,0.466,13,50,0.26,77,143,0.538,0.5,52,72,0.722,58,133,191,81,22,27,46,77,245,"3102530","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102530.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
329,"Jordan Nwora","SF",25,"IND",5,0,73,14,34,0.412,4,15,0.267,10,19,0.526,0.471,3,4,0.75,6,9,15,6,4,1,7,8,35,"4277883","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277883.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
330,"Royce O'Neale","SF",30,"BKN",18,5,534,50,131,0.382,45,111,0.405,5,20,0.25,0.553,2,6,0.333,13,85,98,62,15,16,18,56,147,"2583632","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2583632.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
331,"Chuma Okeke","SF",25,"ORL",9,0,37,4,13,0.308,3,10,0.3,1,3,0.333,0.423,0,0,NA,3,4,7,3,0,0,2,0,11,"4278052","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278052.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
332,"Josh Okogie","SG",25,"PHO",21,9,451,42,99,0.424,11,44,0.25,31,55,0.564,0.48,45,58,0.776,35,39,74,22,20,9,18,27,140,"4065663","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065663.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
333,"Onyeka Okongwu","C",23,"ATL",19,0,442,61,107,0.57,5,21,0.238,56,86,0.651,0.593,41,48,0.854,48,78,126,27,10,15,15,52,168,"4431680","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431680.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png"
334,"Isaac Okoro","SF",23,"CLE",11,5,268,32,64,0.5,8,21,0.381,24,43,0.558,0.563,10,15,0.667,14,26,40,19,12,6,9,28,82,"4432822","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432822.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
335,"Kelly Olynyk","C",32,"UTAH",19,1,400,50,86,0.581,16,34,0.471,34,52,0.654,0.674,29,33,0.879,36,69,105,71,16,4,37,55,145,"2489663","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2489663.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png"
336,"Eugene Omoruyi","SF",26,"WAS",11,0,75,23,36,0.639,5,11,0.455,18,25,0.72,0.708,12,16,0.75,9,12,21,8,5,1,6,10,63,"4066410","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066410.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
337,"Cedi Osman","SF",28,"SAS",19,0,369,58,126,0.46,29,73,0.397,29,53,0.547,0.575,11,14,0.786,9,29,38,28,8,4,12,33,156,"3893016","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3893016.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png"
338,"Kelly Oubre Jr.","SF",28,"PHI",8,5,232,47,94,0.5,14,37,0.378,33,57,0.579,0.574,22,28,0.786,11,30,41,5,11,3,7,19,130,"3133603","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133603.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
339,"Chris Paul","PG",38,"GSW",18,7,483,57,143,0.399,21,64,0.328,36,79,0.456,0.472,26,28,0.929,5,60,65,131,27,1,20,29,161,"2779","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2779.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
340,"Cameron Payne","PG",29,"MIL",21,2,358,53,105,0.505,28,61,0.459,25,44,0.568,0.638,8,8,1,1,29,30,49,9,2,17,45,142,"3064230","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064230.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
341,"Gary Payton II","SG",31,"GSW",14,0,242,34,71,0.479,9,28,0.321,25,43,0.581,0.542,6,9,0.667,15,29,44,13,17,4,9,26,83,"3134903","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134903.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
342,"Filip Petrusev","C",23,NA,3,0,10,1,2,0.5,0,0,NA,1,2,0.5,0.5,1,2,0.5,0,1,1,0,0,0,0,1,3,NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/NA.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/NA.png"
343,"Julian Phillips","SF",20,"CHI",10,0,48,3,13,0.231,0,6,0,3,7,0.429,0.231,1,4,0.25,1,6,7,4,1,0,1,6,7,"5105553","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105553.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png"
344,"Jalen Pickett","SG",24,"DEN",11,0,74,9,20,0.45,5,14,0.357,4,6,0.667,0.575,2,2,1,1,9,10,7,3,0,6,7,25,"4398390","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4398390.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png"
345,"Mason Plumlee","C",33,"LAC",6,0,102,12,19,0.632,0,0,NA,12,19,0.632,0.632,6,14,0.429,8,25,33,6,4,1,5,6,30,"2488653","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2488653.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
346,"Brandin Podziemski","SG",20,"GSW",14,0,262,38,83,0.458,15,34,0.441,23,49,0.469,0.548,11,15,0.733,13,47,60,31,7,2,14,23,102,"4709138","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4709138.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
347,"Jakob Poeltl","C",28,"TOR",20,20,533,105,144,0.729,0,0,NA,105,144,0.729,0.729,17,35,0.486,56,114,170,46,17,21,34,55,227,"3134908","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134908.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
348,"Aleksej Pokusevski","PF",22,"OKC",6,0,34,2,9,0.222,1,6,0.167,1,3,0.333,0.278,1,2,0.5,2,5,7,5,0,1,3,5,6,"4683018","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683018.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png"
349,"Jordan Poole","SG",24,"WAS",18,18,529,108,276,0.391,34,119,0.286,74,157,0.471,0.453,59,69,0.855,9,41,50,63,21,7,51,58,309,"4277956","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277956.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
350,"Craig Porter Jr.","PG",23,"CLE",13,1,178,37,66,0.561,3,7,0.429,34,59,0.576,0.583,16,22,0.727,3,20,23,30,7,5,14,15,93,NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/NA.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
351,"Michael Porter Jr.","SF",25,"DEN",21,21,661,141,296,0.476,61,160,0.381,80,136,0.588,0.579,23,31,0.742,35,134,169,37,11,17,25,48,366,"4278104","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278104.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png"
352,"Otto Porter Jr.","SF",30,"TOR",9,1,110,10,23,0.435,7,16,0.438,3,7,0.429,0.587,1,1,1,6,16,22,1,3,3,1,10,28,"2594922","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2594922.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
353,"Bobby Portis","PF",28,"MIL",21,0,502,98,205,0.478,16,54,0.296,82,151,0.543,0.517,27,35,0.771,28,110,138,25,17,12,19,50,239,"3064482","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064482.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
354,"Kristaps Porzingis","C",28,"BOS",15,15,454,98,179,0.547,24,74,0.324,74,105,0.705,0.615,64,80,0.8,22,78,100,28,10,25,19,51,284,"3102531","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102531.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
355,"Dwight Powell","C",32,"DAL",17,1,242,21,29,0.724,1,1,1,20,28,0.714,0.741,30,38,0.789,21,30,51,22,5,8,7,29,73,"2531367","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2531367.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png"
356,"Norman Powell","SG",30,"LAC",19,0,451,76,158,0.481,35,76,0.461,41,82,0.5,0.592,40,49,0.816,4,32,36,19,13,9,20,39,227,"2595516","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2595516.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
357,"Taurean Prince","PF",29,"LAL",20,20,595,64,155,0.413,29,87,0.333,35,68,0.515,0.506,13,18,0.722,6,43,49,28,15,8,16,44,170,"2990962","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2990962.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
358,"Payton Pritchard","PG",26,"BOS",20,0,410,45,120,0.375,24,76,0.316,21,44,0.477,0.475,10,13,0.769,19,45,64,58,7,0,11,20,124,"4066354","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066354.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
359,"Olivier-Maxence Prosper","PF",21,"DAL",9,0,66,4,16,0.25,1,10,0.1,3,6,0.5,0.281,8,12,0.667,3,7,10,4,1,0,0,5,17,"4595400","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4595400.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png"
360,"Neemias Queta","C",24,"BOS",3,0,31,4,10,0.4,0,0,NA,4,10,0.4,0.4,4,5,0.8,8,9,17,0,1,0,2,2,12,"4397424","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397424.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
361,"Immanuel Quickley","SG",24,"NYK",20,0,483,101,236,0.428,40,110,0.364,61,126,0.484,0.513,57,64,0.891,4,56,60,57,9,2,23,31,299,"4395724","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395724.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
362,"Lester Quinones","SG",23,"GSW",2,0,9,2,6,0.333,1,4,0.25,1,2,0.5,0.417,0,0,NA,0,0,0,0,0,0,1,1,5,"4431720","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431720.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
363,"Julius Randle","PF",29,"NYK",20,20,701,150,349,0.43,33,113,0.292,117,236,0.496,0.477,96,133,0.722,43,156,199,110,14,3,64,52,429,"3064514","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064514.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
364,"Duop Reath","C",27,"POR",11,1,153,27,65,0.415,15,42,0.357,12,23,0.522,0.531,9,10,0.9,7,13,20,12,5,3,8,17,78,"4066268","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066268.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
365,"Austin Reaves","SG",25,"LAL",22,8,647,107,231,0.463,29,91,0.319,78,140,0.557,0.526,65,76,0.855,21,83,104,101,22,2,53,32,308,"4066457","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066457.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
366,"Cam Reddish","SF",24,"LAL",18,11,433,42,104,0.404,15,49,0.306,27,55,0.491,0.476,27,32,0.844,9,39,48,20,26,5,10,32,126,"4395627","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395627.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
367,"Paul Reed","C",24,"PHI",19,1,280,47,79,0.595,4,9,0.444,43,70,0.614,0.62,6,8,0.75,34,49,83,20,10,12,16,40,104,"4278562","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278562.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
368,"Naz Reid","C",24,"MIN",19,0,406,89,173,0.514,32,80,0.4,57,93,0.613,0.607,29,32,0.906,18,58,76,13,14,11,21,28,239,"4396971","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396971.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
369,"Jared Rhoden","SG",24,"DET",5,0,30,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,1,3,4,3,0,0,2,4,13,"4397119","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397119.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
370,"Nick Richards","C",26,"CHA",12,0,201,34,45,0.756,0,0,NA,34,45,0.756,0.756,29,36,0.806,18,50,68,5,5,14,13,33,97,"4278076","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278076.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
371,"Josh Richardson","SG",30,"MIA",17,4,470,67,145,0.462,21,71,0.296,46,74,0.622,0.534,24,27,0.889,9,36,45,53,10,5,20,30,179,"2581190","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2581190.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
372,"Duncan Robinson","SF",29,"MIA",18,10,532,94,192,0.49,55,123,0.447,39,69,0.565,0.633,21,25,0.84,5,41,46,49,6,3,18,46,264,"3157465","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3157465.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
