"rk","name","pos","age","team_abbr","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","id","player_image","team_logo"
245,"Jock Landale","C",28,"HOU",13,0,113,9,26,0.346,2,10,0.2,7,16,0.438,0.385,4,4,1,9,14,23,8,4,3,8,9,24,"3146557","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3146557.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
246,"Jake LaRavia","PF",22,"MEM",5,0,61,7,20,0.35,2,12,0.167,5,8,0.625,0.4,1,2,0.5,3,5,8,2,1,0,2,8,17,"4592691","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592691.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
247,"Zach LaVine","SG",28,"CHI",18,18,635,132,298,0.443,43,128,0.336,89,170,0.524,0.515,71,82,0.866,6,82,88,61,17,4,36,37,378,"3064440","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064440.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png"
248,"A.J. Lawson","SG",23,"DAL",2,0,23,4,11,0.364,3,8,0.375,1,3,0.333,0.5,2,4,0.5,0,1,1,2,0,1,0,1,13,"4067017","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4067017.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png"
249,"Saben Lee","PG",24,"PHO",3,0,10,3,6,0.5,0,1,0,3,5,0.6,0.5,0,0,NA,2,1,3,3,0,1,0,1,6,"4278124","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278124.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
250,"Alex Len","C",30,"SAC",6,0,41,6,8,0.75,0,1,0,6,7,0.857,0.75,3,7,0.429,7,9,16,5,1,5,2,2,15,"2596107","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2596107.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
251,"Kawhi Leonard","SF",32,"LAC",19,19,653,155,324,0.478,41,104,0.394,114,220,0.518,0.542,63,76,0.829,17,97,114,65,31,13,29,30,414,"6450","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6450.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
252,"Caris LeVert","SG",29,"CLE",16,1,486,87,213,0.408,27,87,0.31,60,126,0.476,0.472,37,50,0.74,7,52,59,57,16,6,22,29,238,"2991043","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991043.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
253,"Kira Lewis Jr.","PG",22,"NO",11,0,121,14,43,0.326,2,15,0.133,12,28,0.429,0.349,8,9,0.889,3,7,10,18,5,1,5,8,38,"4395698","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395698.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
254,"Maxwell Lewis","SF",21,"LAL",10,0,43,0,5,0,0,1,0,0,4,0,0,0,0,NA,1,1,2,2,2,0,4,2,0,"4684286","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684286.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
